cwur_year,cwur_institution,cwur_location,cwur_world_rank,cwur_national_rank,cwur_quality_of_education,cwur_alumni_employment,cwur_quality_of_faculty,cwur_research_performance,cwur_publications,cwur_influence,cwur_citations,cwur_broad_impact,cwur_patents,cwur_score
2016,Harvard University,USA,1,1,1,1,1,-,1,1,1,1,3,100.00
2016,Stanford University,USA,2,2,9,2,2,-,5,3,3,3,7,98.25
2016,Massachusetts Institute of Technology,USA,3,3,2,12,3,-,15,2,2,2,1,97.12
2016,University of Cambridge,United Kingdom,4,1,3,10,6,-,12,8,14,12,45,96.13
2016,University of Oxford,United Kingdom,5,2,7,13,10,-,6,11,6,9,19,95.39
2016,Columbia University,USA,6,4,13,6,9,-,14,12,15,14,2,94.12
2016,University of California - Berkeley,USA,7,5,6,21,5,-,11,4,8,6,21,91.35
2016,University of Chicago,USA,8,6,11,14,8,-,17,16,11,17,83,90.72
2016,Princeton University,USA,9,7,4,15,4,-,82,25,26,37,109,88.72
2016,Yale University,USA,10,8,8,26,11,-,18,6,31,18,41,85.83
2016,California Institute of Technology,USA,11,9,5,338,7,-,67,13,20,25,9,83.74
2016,Cornell University,USA,12,10,12,19,19,-,24,15,27,23,13,81.74
2016,University of Tokyo,Japan,13,1,14,3,31,-,13,20,31,31,8,79.51
2016,University of Pennsylvania,USA,14,11,22,4,26,-,8,18,12,11,11,77.60
2016,University of California - Los Angeles,USA,15,12,35,28,13,-,7,14,10,8,6,75.23
2016,Johns Hopkins University,USA,16,13,18,89,16,-,4,10,4,4,4,70.44
2016,University of California - San Diego,USA,17,14,27,594+,18,-,16,5,16,16,16,67.59
2016,University of California - San Francisco,USA,18,15,378+,594+,14,-,23,7,18,10,55,66.97
2016,University of Michigan,USA,19,16,25,20,139,-,3,19,5,12,12,66.60
2016,Kyoto University,Japan,20,2,23,17,27,-,33,43,84,65,15,66.53
2016,Northwestern University,USA,21,17,176,11,75,-,28,36,31,26,40,66.14
2016,New York University,USA,22,18,38,24,20,-,47,30,27,32,43,66.11
2016,Swiss Federal Institute of Technology in Zurich,Switzerland,23,1,17,61,17,-,46,27,41,72,51,64.98
2016,Seoul National University,South Korea,24,1,378+,9,235+,-,27,148,184,106,9,64.92
2016,University of Wisconsin - Madison,USA,25,19,29,29,32,-,22,24,23,27,14,64.04
2016,Hebrew University of Jerusalem,Israel,26,1,16,196,15,-,127,103,324,149,28,63.52
2016,University of Washington,USA,27,20,41,112,23,-,10,9,8,5,25,63.38
2016,Rockefeller University,USA,28,21,32,594+,12,-,395,28,136,81,240,61.64
2016,Duke University,USA,29,22,80,33,46,-,21,23,13,15,24,61.32
2016,University of Toronto,Canada,30,1,47,70,24,-,2,17,7,6,230,60.79
2016,University College London,United Kingdom,31,3,21,442,33,-,9,22,21,20,85,60.54
2016,University of Texas at Austin,USA,32,23,66,31,28,-,51,53,29,68,37,60.17
