the_Rank,the_institution,the_Overall,the_Teaching,the_Reseach,the_Citations,the_Industry Income,the_International Outlook,the_Country,year,cwur_year,cwur_institution,cwur_location,cwur_world_rank,cwur_national_rank,cwur_quality_of_education,cwur_alumni_employment,cwur_quality_of_faculty,cwur_research_performance,cwur_publications,cwur_influence,cwur_citations,cwur_broad_impact,cwur_patents,cwur_score
1,California Institute of Technology,94.8,95.7,98.2,99.9,97.0,56.0,United States,2012,2012,California Institute of Technology,USA,5,4,2,29,7,-,37,22,22,-,18,85.21
2,Harvard University,93.9,95.8,97.4,99.8,35.9,67.5,United States,2012,2012,Harvard University,USA,1,1,7,9,1,-,1,1,1,-,5,100.0
2,Stanford University,93.9,94.8,98.9,99.8,63.8,57.2,United States,2012,2012,Stanford University,USA,3,3,17,11,5,-,4,2,2,-,15,89.5
4,University of Oxford,93.6,89.5,96.6,97.9,62.1,91.9,United Kingdom,2012,2012,University of Oxford,United Kingdom,7,2,13,28,9,-,15,13,19,-,26,82.34
5,Princeton University,92.9,91.5,99.1,100.0,81.0,49.6,United States,2012,2012,Princeton University,USA,6,5,8,14,2,-,53,33,26,-,101+,82.5
6,University of Cambridge,92.4,90.5,94.2,97.3,55.5,85.3,United Kingdom,2012,2012,University of Cambridge,United Kingdom,4,1,10,24,4,-,16,16,11,-,50,86.17
7,Massachusetts Institute of Technology,92.3,92.7,87.4,100.0,94.4,79.2,United States,2012,2012,Massachusetts Institute of Technology,USA,2,2,9,17,3,-,12,4,4,-,1,91.67
8,Imperial College London,90.7,88.8,88.7,93.9,93.1,92.2,United Kingdom,2012,2012,Imperial College London,United Kingdom,28,3,84,73,35,-,26,26,29,-,41,57.53
9,University of Chicago,90.2,89.4,90.8,99.4,-,58.8,United States,2012,2012,University of Chicago,USA,11,9,15,26,8,-,34,20,28,-,101+,73.82
11,Yale University,89.1,92.3,91.2,96.7,34.7,55.5,United States,2012,2012,Yale University,USA,8,6,14,31,12,-,14,6,15,-,66,79.14
12,Columbia University,87.5,89.1,81.8,97.8,-,67.6,United States,2012,2012,Columbia University,USA,9,7,23,21,10,-,13,12,14,-,5,78.86
14,Johns Hopkins University,85.8,78.9,86.5,97.3,100.0,59.9,United States,2012,2012,Johns Hopkins University,USA,15,12,34,77,20,-,11,9,9,-,7,66.94
16,University of Pennsylvania,84.9,87.0,86.1,97.9,41.9,34.3,United States,2012,2012,University of Pennsylvania,USA,13,11,31,16,24,-,9,10,8,-,9,73.64
19,University of Toronto,81.6,76.9,87.4,86.5,44.9,69.0,Canada,2012,2012,University of Toronto,Canada,35,1,101+,101+,34,-,7,14,18,-,101+,53.43
20,Cornell University,80.5,70.4,87.2,93.5,-,53.4,United States,2012,2012,Cornell University,USA,12,10,21,42,14,-,22,21,16,-,10,73.69
21,Carnegie Mellon University,78.4,65.7,79.5,97.4,60.7,55.0,United States,2012,2012,Carnegie Mellon University,USA,43,31,30,81,26,-,101+,101+,61,-,101+,51.6
22,Duke University,77.4,62.6,77.9,97.4,100.0,46.9,United States,2012,2012,Duke University,USA,27,20,65,43,55,-,20,15,12,-,20,58.37
22,University of British Columbia,77.4,68.6,78.6,85.2,40.6,88.7,Canada,2012,2012,University of British Columbia,Canada,67,3,101+,101+,93,-,28,38,48,-,101+,47.74
24,Georgia Institute of Technology,77.0,66.6,73.8,91.9,99.2,65.0,United States,2012,2012,Georgia Institute of Technology,USA,87,56,101+,67,101+,-,79,101+,46,-,40,44.71
