the_Rank,the_institution,the_Overall,the_Teaching,the_Reseach,the_Citations,the_Industry Income,the_International Outlook,the_Country,year,cwur_year,cwur_institution,cwur_location,cwur_world_rank,cwur_national_rank,cwur_quality_of_education,cwur_alumni_employment,cwur_quality_of_faculty,cwur_research_performance,cwur_publications,cwur_influence,cwur_citations,cwur_broad_impact,cwur_patents,cwur_score
1,University of Oxford,95.0,89.6,99.1,99.2,62.5,94.5,United Kingdom,2017.0,2017,University of Oxford,United Kingdom,5,2,7,14,9,-,6,6,4,9,19,92.2
2,California Institute of Technology,94.3,95.5,95.7,99.8,90.8,63.4,United States,2017.0,2017,California Institute of Technology,USA,11,9,5,339,7,-,82,13,23,28,13,80.46
3,Stanford University,93.8,92.6,95.9,99.9,60.9,76.5,United States,2017.0,2017,Stanford University,USA,2,2,8,2,2,-,5,3,2,3,7,96.86
4,University of Cambridge,93.6,90.6,97.2,96.8,50.4,92.4,United Kingdom,2017.0,2017,University of Cambridge,United Kingdom,4,1,3,10,6,-,10,7,17,13,52,93.14
5,Massachusetts Institute of Technology,93.4,90.3,92.3,99.9,88.4,85.6,United States,2017.0,2017,Massachusetts Institute of Technology,USA,3,3,2,12,3,-,14,2,3,2,1,95.72
6,Harvard University,92.7,87.5,98.3,99.7,47.3,77.9,United States,2017.0,2017,Harvard University,USA,1,1,1,1,1,-,1,1,1,1,2,100.0
7,Princeton University,90.2,89.5,88.4,99.2,49.9,77.2,United States,2017.0,2017,Princeton University,USA,9,7,4,15,4,-,99,26,23,39,122,86.04
8,Imperial College London,90.0,86.4,86.6,97.3,67.5,96.5,United Kingdom,2017.0,2017,Imperial College London,United Kingdom,34,4,60,68,39,-,18,24,18,21,33,57.23
10,University of Chicago,88.9,88.1,89.1,99.1,37.7,67.8,United States,2017.0,2017,University of Chicago,USA,8,6,11,13,8,-,23,17,11,16,85,87.13
12,Yale University,88.2,88.5,87.8,97.8,44.5,64.3,United States,2017.0,2017,Yale University,USA,10,8,9,27,11,-,17,10,32,18,48,81.2
13,University of Pennsylvania,87.1,85.9,88.9,98.6,49.9,50.1,United States,2017.0,2017,University of Pennsylvania,USA,14,11,24,4,27,-,11,18,12,11,11,73.9
16,Columbia University,86.1,86.9,78.9,98.6,44.9,75.3,United States,2017.0,2017,Columbia University,USA,6,4,13,6,10,-,13,12,13,14,4,90.8
