the_Rank,the_institution,the_Overall,the_Teaching,the_Reseach,the_Citations,the_Industry Income,the_International Outlook,the_Country,   the_No. Of FTTE Students,   the_No. Of Studets per staff,   the_International Students,   the_Female,Male,year,cwur_year,cwur_institution,cwur_location,cwur_world_rank,cwur_national_rank,cwur_quality_of_education,cwur_alumni_employment,cwur_quality_of_faculty,cwur_research_performance,cwur_publications,cwur_influence,cwur_citations,cwur_broad_impact,cwur_patents,cwur_score,sha_World Rank,sha_institution,sha_Location,sha_National Rank,sha_Score, sha_Score on Alumni,sha_Score on Award,sha_Score on HiCi,sha_Score on N&S,sha_Score on PUB,sha_Score on PCP,sha_year
1,California Institute of Technology,95.2,95.6,97.6,99.8,97.8,64.0,United States,2.2430000000000003,6.9,0 26,33,67,2016,2016.0,California Institute of Technology,USA,11.0,9.0,5,338,7,-,67.0,13,20,25.0,9,83.74,8,California Institute of Technology,USA,6,57.8,51.0,66.7,39.7,57.3,43.6,100.0,2016.0
2,University of Oxford,94.2,86.5,98.9,98.8,73.1,94.4,United Kingdom,19.919,11.6,0 34,46,54,2016,2016.0,University of Oxford,United Kingdom,5.0,2.0,7,13,10,-,6.0,11,6,9.0,19,95.39,7,University of Oxford,United Kingdom,2,58.9,49.7,54.9,56.2,55.0,74.5,46.1,2016.0
3,Stanford University,93.9,92.5,96.2,99.9,63.3,76.3,United States,15.595999999999998,7.8,0 22,42,58,2016,2016.0,Stanford University,USA,2.0,2.0,9,2,2,-,5.0,3,3,3.0,7,98.25,2,Stanford University,USA,2,74.7,42.9,89.6,80.1,73.6,73.1,55.8,2016.0
4,University of Cambridge,92.8,88.2,96.7,97.0,55,91.5,United Kingdom,18.812,11.8,0 34,46,54,2016,2016.0,University of Cambridge,United Kingdom,4.0,1.0,3,10,6,-,12.0,8,14,12.0,45,96.13,4,University of Cambridge,United Kingdom,1,69.6,78.3,96.6,51.3,56.7,67.8,58.5,2016.0
5,Massachusetts Institute of Technology,92,89.4,88.6,99.7,95.4,84.0,United States,11.074000000000002,9.0,0 33,37,63,2016,2016.0,Massachusetts Institute of Technology,USA,3.0,3.0,2,12,3,-,15.0,2,2,2.0,1,97.12,5,Massachusetts Institute of Technology,USA,4,69.2,69.4,80.7,55.3,71.7,61.7,69.7,2016.0
6,Harvard University,91.6,83.6,99.0,99.8,45.2,77.2,United States,20.152,8.9,0 25,-,-,2016,2016.0,Harvard University,USA,1.0,1.0,1,1,1,-,1.0,1,1,1.0,3,100.0,1,Harvard University,USA,1,100.0,100.0,100.0,100.0,100.0,100.0,79.2,2016.0
7,Princeton University,90.1,85.1,91.9,99.3,52.1,78.5,United States,7.9289999999999985,8.4,0 27,45,55,2016,2016.0,Princeton University,USA,9.0,7.0,4,15,4,-,82.0,25,26,37.0,109,88.72,6,Princeton University,USA,5,62.0,53.3,98.0,51.3,47.2,42.9,74.4,2016.0
8,Imperial College London,89.1,83.3,88.5,96.7,53.7,96.0,United Kingdom,15.06,11.7,0 51,37,63,2016,2016.0,Imperial College London,United Kingdom,35.0,4.0,99,72,37,-,19.0,26,19,20.0,29,59.4,,,,,,,,,,,,
9,ETH Zurich,88.3,77.0,95.0,91.1,80,97.9,Switzerland,18.178,14.7,0 37,31,69,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,University of Chicago,87.9,85.7,88.9,99.2,36.6,65.0,United States,14.220999999999998,6.9,0 2,42,58,2016,2016.0,University of Chicago,USA,8.0,6.0,11,14,8,-,17.0,16,11,17.0,83,90.72,10,University of Chicago,USA,8,54.2,59.8,86.3,34.0,42.7,50.2,44.5,2016.0
11,Johns Hopkins University,87.6,77.6,90.4,98.2,100,70.0,United States,15.128,3.6,0 23,50,50,2016,2016.0,Johns Hopkins University,USA,16.0,13.0,18,89,16,-,4.0,10,4,4.0,4,70.44,16,Johns Hopkins University,USA,14,46.0,37.7,33.6,38.4,47.0,71.9,31.1,2016.0
12,Yale University,87.4,86.5,87.8,97.2,43.3,64.3,United States,11.751,4.4,0 2,50,50,2016,2016.0,Yale University,USA,10.0,8.0,8,26,11,-,18.0,6,31,18.0,41,85.83,11,Yale University,USA,9,52.8,47.6,50.4,44.7,58.4,62.6,37.1,2016.0
13,University of California  Berkeley,87.2,80.4,91.1,99.7,47.9,61.9,United States,36.186,16.4,0 15,50,50,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,UCL,87.1,78.1,91.0,94.2,40.5,94.4,United Kingdom,26.607,10.7,0 46,56,44,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Columbia University,86.1,85.9,82.2,98.1,-,73.5,United States,25.055,5.9,0 28,-,-,2016,2016.0,Columbia University,USA,6.0,4.0,13,6,9,-,14.0,12,15,14.0,2,94.12,9,Columbia University,USA,7,56.7,63.5,65.9,41.0,53.3,68.9,33.3,2016.0
16,University of California  Los Angeles,85.8,80.8,88.6,98.5,47.9,56.4,United States,38.206,10.3,0 15,52,48,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,University of Pennsylvania,85.2,82.0,86.9,98.6,47.9,49.5,United States,20.376,6.5,0 2,51,49,2016,2016.0,University of Pennsylvania,USA,14.0,11.0,22,4,26,-,8.0,18,12,11.0,11,77.6,18,University of Pennsylvania,USA,15,44.5,31.6,33.8,42.3,39.4,67.7,37.8,2016.0
18,Cornell University,84,77.9,86.1,97.2,33.7,63.9,United States,21.424,10.2,0 19,48,52,2016,2016.0,Cornell University,USA,12.0,10.0,12,19,19,-,24.0,15,27,23.0,13,81.74,13,Cornell University,USA,11,49.0,42.0,49.8,41.0,47.0,60.5,40.9,2016.0
19,University of Toronto,83.9,75.9,89.3,90.9,49.1,77.8,Canada,66.19800000000001,19.5,0 15,-,-,2016,2016.0,University of Toronto,Canada,30.0,1.0,47,70,24,-,2.0,17,7,6.0,230,60.79,27,University of Toronto,Canada,1,39.4,19.9,17.2,32.4,38.2,80.1,30.3,2016.0
20,Duke University,82.7,76.0,78.0,99.0,100,56.5,United States,15.172,4.8,0 17,49,51,2016,2016.0,Duke University,USA,29.0,22.0,80,33,46,-,21.0,23,13,15.0,24,61.32,25,Duke University,USA,19,40.4,15.4,19.2,57.1,38.9,62.1,25.9,2016.0
21,University of Michigan-Ann Arbor,82.4,76.8,85.2,94.4,56.3,53.7,United States,41.786,9.0,0 16,48,52,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Carnegie Mellon University,82.3,67.4,88.8,99.1,57.5,57.1,United States,11.885,13.1,0 35,39,61,2016,2016.0,Carnegie Mellon University,USA,67.0,42.0,28,140,25,-,216.0,219,101,155.0,122,53.04,68,Carnegie Mellon University,USA,36,28.1,31.6,31.6,25.1,13.7,33.9,34.7,2016.0
