cwur_year,cwur_institution,cwur_location,cwur_world_rank,cwur_national_rank,cwur_quality_of_education,cwur_alumni_employment,cwur_quality_of_faculty,cwur_research_performance,cwur_publications,cwur_influence,cwur_citations,cwur_broad_impact,cwur_patents,cwur_score
2019,Harvard University,USA,1,1,2,1,1,1,-,-,-,-,-,100
2019,Massachusetts Institute of Technology,USA,2,2,1,10,2,5,-,-,-,-,-,96.7
2019,Stanford University,USA,3,3,9,3,3,2,-,-,-,-,-,95.2
2019,University of Cambridge,United Kingdom,4,1,4,19,5,11,-,-,-,-,-,94.1
2019,University of Oxford,United Kingdom,5,2,10,24,10,4,-,-,-,-,-,93.3
2019,Columbia University,USA,6,4,13,12,8,12,-,-,-,-,-,92.6
2019,Princeton University,USA,7,5,6,14,6,54,-,-,-,-,-,92.0
2019,University of California - Berkeley,USA,8,6,5,48,9,6,-,-,-,-,-,91.6
2019,University of Pennsylvania,USA,9,7,15,8,30,14,-,-,-,-,-,91.1
2019,University of Chicago,USA,10,8,11,18,19,16,-,-,-,-,-,90.7
2019,California Institute of Technology,USA,11,9,3,179,4,52,-,-,-,-,-,90.4
2019,Yale University,USA,12,10,8,32,12,17,-,-,-,-,-,90.1
2019,University of Tokyo,Japan,13,1,22,6,69,23,-,-,-,-,-,89.8
2019,Cornell University,USA,14,11,12,26,13,22,-,-,-,-,-,89.5
2019,Northwestern University,USA,15,12,160,16,31,24,-,-,-,-,-,89.3
2019,University of California - Los Angeles,USA,16,13,32,57,15,10,-,-,-,-,-,89.0
2019,University of Michigan - Ann Arbor,USA,17,14,35,35,85,9,-,-,-,-,-,88.8
2019,Johns Hopkins University,USA,18,15,31,164,20,7,-,-,-,-,-,88.6
2019,University of Washington - Seattle,USA,19,16,47,208,14,8,-,-,-,-,-,88.4
2019,University of Illinois at Urbana - Champaign,USA,20,17,16,129,17,46,-,-,-,-,-,88.2
2019,Kyoto University,Japan,21,2,33,29,36,58,-,-,-,-,-,88.0
2019,University College London,United Kingdom,22,3,36,669,18,13,-,-,-,-,-,87.8
2019,Duke University,USA,23,18,100,46,25,20,-,-,-,-,-,87.7
2019,University of Toronto,Canada,24,1,236,162,24,3,-,-,-,-,-,87.5
2019,University of Wisconsin - Madison,USA,25,19,28,80,35,27,-,-,-,-,-,87.3
2019,New York University,USA,26,20,64,39,37,39,-,-,-,-,-,87.2
2019,University of California San Diego,USA,27,21,67,-,16,15,-,-,-,-,-,87.1
2019,Imperial College London,United Kingdom,28,4,60,101,53,18,-,-,-,-,-,86.9
2019,ETH Zurich,Switzerland,29,1,41,90,28,36,-,-,-,-,-,86.8
2019,McGill University,Canada,30,2,27,91,71,41,-,-,-,-,-,86.7
2019,University of Texas at Austin,USA,31,22,72,58,43,44,-,-,-,-,-,86.5
2019,École Polytechnique,France,32,1,94,4,178,356,-,-,-,-,-,86.4
2019,Seoul National University,South Korea,33,1,-,21,-,48,-,-,-,-,-,86.3
2019,University of California - San Francisco,USA,34,23,-,-,11,21,-,-,-,-,-,86.2
2019,Sorbonne University,France,35,2,55,339,82,19,-,-,-,-,-,86.1
2019,University of North Carolina at Chapel Hill,USA,36,24,214,107,46,28,-,-,-,-,-,85.9
2019,University of Edinburgh,United Kingdom,37,5,38,336,65,47,-,-,-,-,-,85.8
2019,University of Minnesota - Twin Cities,USA,38,25,77,291,90,25,-,-,-,-,-,85.7
2019,University of Copenhagen,Denmark,39,1,119,352,48,26,-,-,-,-,-,85.6
2019,University of Texas Southwestern Medical Center,USA,40,26,19,-,21,142,-,-,-,-,-,85.5
2019,Washington University in St. Louis,USA,41,27,150,163,42,35,-,-,-,-,-,85.4
2019,Karolinska Institute,Sweden,42,1,49,-,39,59,-,-,-,-,-,85.3
2019,École normale supérieure,France,43,3,7,543,123,360,-,-,-,-,-,85.2
2019,University of Southern California,USA,44,28,271,115,23,66,-,-,-,-,-,85.2
2019,Brown University,USA,45,29,66,49,81,118,-,-,-,-,-,85.1
2019,Vanderbilt University,USA,46,30,387,86,51,65,-,-,-,-,-,85.0
2019,Pennsylvania State University,USA,47,31,320,161,52,45,-,-,-,-,-,84.9
2019,Rutgers University - New Brunswick,USA,48,32,190,96,44,70,-,-,-,-,-,84.8
2019,Dartmouth College,USA,49,33,109,17,131,243,-,-,-,-,-,84.7
2019,University of California - Davis,USA,50,34,97,565,56,43,-,-,-,-,-,84.6
2019,Ludwig Maximilian University of Munich,Germany,51,1,81,245,78,50,-,-,-,-,-,84.6
2019,University of British Columbia,Canada,52,3,158,662,99,29,-,-,-,-,-,84.5
2019,University of Virginia,USA,53,35,315,30,136,121,-,-,-,-,-,84.4
2019,Ohio State University,USA,54,36,113,233,113,32,-,-,-,-,-,84.3
2019,King's College London,United Kingdom,55,6,62,341,66,64,-,-,-,-,-,84.3
2019,University of Oslo,Norway,56,1,30,636,67,103,-,-,-,-,-,84.2
2019,University of Colorado Boulder,USA,57,37,139,168,29,81,-,-,-,-,-,84.1
2019,Weizmann Institute of Science,Israel,58,1,17,-,34,232,-,-,-,-,-,84.0
2019,Peking University,China,59,1,351,63,-,33,-,-,-,-,-,84.0
2019,University of Manchester,United Kingdom,60,7,123,243,77,49,-,-,-,-,-,83.9
2019,Purdue University,USA,61,38,107,76,64,102,-,-,-,-,-,83.8
2019,Hebrew University of Jerusalem,Israel,62,2,25,381,41,150,-,-,-,-,-,83.8
2019,University of Pittsburgh,USA,63,39,237,210,149,30,-,-,-,-,-,83.7
2019,University of Melbourne,Australia,64,1,134,377,135,34,-,-,-,-,-,83.6
2019,University of California - Irvine,USA,65,40,-,1427,22,85,-,-,-,-,-,83.6
2019,University of California - Santa Barbara,USA,66,41,74,534,26,115,-,-,-,-,-,83.5
2019,Rockefeller University,USA,67,42,20,-,7,336,-,-,-,-,-,83.5
2019,University of Zurich,Switzerland,68,2,118,713,50,72,-,-,-,-,-,83.4
2019,University of Arizona,USA,69,43,276,180,47,86,-,-,-,-,-,83.3
2019,Tsinghua University,China,70,2,403,100,-,37,-,-,-,-,-,83.3
2019,Free University of Berlin,Germany,71,2,133,1197,54,73,-,-,-,-,-,83.2
2019,Heidelberg University,Germany,72,3,83,854,115,61,-,-,-,-,-,83.2
2019,Utrecht University,Netherlands,73,1,241,353,143,42,-,-,-,-,-,83.1
2019,Boston University,USA,74,44,487,112,144,62,-,-,-,-,-,83.0
2019,National Taiwan University,Taiwan,75,1,155,36,-,114,-,-,-,-,-,83.0
2019,Technical University of Munich,Germany,76,4,45,323,145,83,-,-,-,-,-,82.9
2019,University of Bristol,United Kingdom,77,8,210,273,61,79,-,-,-,-,-,82.9
2019,Paris - Sud University,France,78,4,90,862,57,90,-,-,-,-,-,82.8
2019,École Polytechnique Fédérale de Lausanne,Switzerland,79,3,177,88,121,104,-,-,-,-,-,82.8
2019,Osaka University,Japan,80,3,80,56,217,109,-,-,-,-,-,82.7
2019,University of Florida,USA,81,45,243,453,124,55,-,-,-,-,-,82.7
2019,Georgia Institute of Technology,USA,82,46,193,156,91,93,-,-,-,-,-,82.6
2019,University of Utah,USA,83,47,152,175,88,97,-,-,-,-,-,82.6
2019,Carnegie Mellon University,USA,84,48,71,140,38,169,-,-,-,-,-,82.5
2019,National University of Singapore,Singapore,85,1,-,159,-,40,-,-,-,-,-,82.5
2019,Keio University,Japan,86,4,429,11,-,357,-,-,-,-,-,82.4
2019,Texas A&M University - College Station,USA,87,49,-,155,83,105,-,-,-,-,-,82.4
2019,Paris Diderot University,France,88,5,216,-,55,96,-,-,-,-,-,82.3
2019,University of Alberta,Canada,89,4,404,387,110,75,-,-,-,-,-,82.3
2019,Emory University,USA,90,50,430,202,182,57,-,-,-,-,-,82.2
2019,University of Groningen,Netherlands,91,2,182,479,98,78,-,-,-,-,-,82.2
2019,Leiden University,Netherlands,92,3,98,1154,84,95,-,-,-,-,-,82.1
2019,University of Texas MD Anderson Cancer Center,USA,93,51,-,-,59,100,-,-,-,-,-,82.1
2019,Tufts University,USA,94,52,44,62,127,207,-,-,-,-,-,82.0
2019,Aarhus University,Denmark,95,2,164,345,105,82,-,-,-,-,-,82.0
2019,University of Chinese Academy of Sciences,China,96,3,-,1051,-,31,-,-,-,-,-,82.0
2019,University of Rochester,USA,97,53,65,70,198,136,-,-,-,-,-,81.9
2019,Erasmus University Rotterdam,Netherlands,98,4,-,83,234,77,-,-,-,-,-,81.9
2019,University of Maryland - College Park,USA,99,54,106,438,201,60,-,-,-,-,-,81.8
2019,University of Sydney,Australia,100,2,201,588,-,38,-,-,-,-,-,81.8
2019,Humboldt University of Berlin,Germany,101,5,402,-,125,71,-,-,-,-,-,81.7
2019,Monash University,Australia,102,3,441,390,162,68,-,-,-,-,-,81.7
2019,Uppsala University,Sweden,103,2,196,478,111,98,-,-,-,-,-,81.7
2019,University of Tübingen,Germany,104,6,50,1045,89,148,-,-,-,-,-,81.6
2019,University of Montreal,Canada,105,5,397,431,116,92,-,-,-,-,-,81.6
2019,University of Basel,Switzerland,106,4,51,290,122,147,-,-,-,-,-,81.5
2019,University of Amsterdam,Netherlands,107,5,148,926,247,51,-,-,-,-,-,81.5
2019,Australian National University,Australia,108,4,114,670,75,123,-,-,-,-,-,81.4
2019,Rice University,USA,109,55,102,81,70,190,-,-,-,-,-,81.4
2019,Tokyo Institute of Technology,Japan,110,5,183,69,49,228,-,-,-,-,-,81.4
2019,Technion  -  Israel Institute of Technology,Israel,111,3,57,283,40,215,-,-,-,-,-,81.3
2019,KU Leuven,Belgium,112,1,-,395,-,53,-,-,-,-,-,81.3
2019,University of New South Wales,Australia,113,5,466,117,-,76,-,-,-,-,-,81.3
2019,Case Western Reserve University,USA,114,56,46,244,195,127,-,-,-,-,-,81.2
2019,University of Queensland,Australia,115,6,281,554,-,56,-,-,-,-,-,81.2
2019,Nagoya University,Japan,116,6,59,284,68,179,-,-,-,-,-,81.1
2019,University of Nottingham,United Kingdom,117,9,218,394,72,128,-,-,-,-,-,81.1
2019,KTH Royal Institute of Technology,Sweden,118,3,132,44,130,218,-,-,-,-,-,81.1
2019,Shanghai Jiao Tong University,China,119,4,-,216,-,69,-,-,-,-,-,81.0
2019,University of Geneva,Switzerland,120,5,78,359,160,122,-,-,-,-,-,81.0
2019,Zhejiang University,China,121,5,-,475,-,63,-,-,-,-,-,81.0
2019,University of Birmingham,United Kingdom,122,10,85,356,171,113,-,-,-,-,-,80.9
2019,Baylor College of Medicine,USA,123,57,175,-,101,125,-,-,-,-,-,80.9
2019,University of Freiburg,Germany,124,7,84,200,118,152,-,-,-,-,-,80.8
2019,University of Southampton,United Kingdom,125,11,468,328,134,112,-,-,-,-,-,80.8
2019,University of Western Australia,Australia,126,7,101,671,128,124,-,-,-,-,-,80.8
2019,McMaster University,Canada,127,6,153,673,153,108,-,-,-,-,-,80.7
2019,University of São Paulo,Brazil,128,1,457,264,219,89,-,-,-,-,-,80.7
2019,University of Barcelona,Spain,129,1,-,450,-,74,-,-,-,-,-,80.7
2019,Nanyang Technological University,Singapore,130,2,-,1186,-,67,-,-,-,-,-,80.6
2019,INSEAD,France,131,6,-,2,-,1583,-,-,-,-,-,80.6
2019,Fudan University,China,132,6,-,167,-,99,-,-,-,-,-,80.6
2019,University of Strasbourg,France,133,7,99,-,32,208,-,-,-,-,-,80.5
2019,University of Helsinki,Finland,134,1,417,1007,226,80,-,-,-,-,-,80.5
2019,University of Bonn,Germany,135,8,110,472,112,149,-,-,-,-,-,80.5
2019,Ghent University,Belgium,136,2,415,621,233,84,-,-,-,-,-,80.4
2019,University of Glasgow,United Kingdom,137,12,282,280,164,119,-,-,-,-,-,80.4
2019,Sapienza University of Rome,Italy,138,1,421,454,155,117,-,-,-,-,-,80.4
2019,Cardiff University,United Kingdom,139,13,310,480,58,166,-,-,-,-,-,80.3
2019,University of Notre Dame,USA,140,58,147,33,-,277,-,-,-,-,-,80.3
2019,Lund University,Sweden,141,4,203,684,-,87,-,-,-,-,-,80.3
