sha_World Rank,sha_institution,sha_Location,sha_National Rank,sha_Score, sha_Score on Alumni,sha_Score on Award,sha_Score on HiCi,sha_Score on N&S,sha_Score on PUB,sha_Score on PCP,sha_year
1,Harvard University,USA,1,100.0,100.0,100.0,100.0,100.0,100.0,76.6,2015
2,Stanford University,USA,2,73.3,40.7,89.6,80.1,70.1,70.6,53.8,2015
3,Massachusetts Institute of Technology,USA,3,70.4,68.2,80.7,60.6,73.1,61.1,68.0,2015
4,University of California - Berkeley,USA,4,69.6,65.1,79.4,66.1,65.6,67.9,56.5,2015
5,University of Cambridge,United Kingdom,1,68.8,77.1,96.6,50.8,55.6,66.4,55.8,2015
6,Princeton University,USA,5,61.0,53.3,93.4,57.1,43.0,42.4,70.3,2015
7,California Institute of Technology,USA,6,59.6,49.5,66.7,49.3,56.4,44.0,100.0,2015
8,Columbia University,USA,7,58.8,63.5,65.9,52.1,51.9,68.8,33.2,2015
9,University of Chicago,USA,8,57.1,59.8,86.3,49.0,42.9,49.8,42.0,2015
10,University of Oxford,United Kingdom,2,56.6,49.7,54.9,52.3,51.9,70.9,43.1,2015
11,Yale University,USA,9,54.5,47.6,50.4,51.0,58.8,63.0,37.8,2015
12,University of California - Los Angeles,USA,10,50.7,29.5,47.1,52.3,47.2,70.7,31.6,2015
13,Cornell University,USA,11,50.5,42.0,49.8,50.4,45.3,59.9,40.2,2015
14,University of California - San Diego,USA,12,48.7,19.2,35.5,56.6,55.1,62.9,36.6,2015
15,University of Washington,USA,13,47.8,21.2,31.6,53.0,51.7,71.9,29.3,2015
16,Johns Hopkins University,USA,14,46.3,37.7,33.6,44.0,44.9,70.2,28.8,2015
17,University of Pennsylvania,USA,15,46.1,31.6,33.8,49.6,39.6,67.7,37.4,2015
18,University College London,United Kingdom,3,44.5,28.1,36.2,38.5,40.6,71.7,32.7,2015
18,University of California - San Francisco,USA,16,44.5,0.0,39.9,46.8,53.5,59.5,34.9,2015
20,Swiss Federal Institute of Technology Zurich,Switzerland,1,43.7,29.5,35.5,38.4,45.9,55.7,46.3,2015
21,University of Tokyo,Japan,1,42.0,30.8,14.1,41.9,48.6,70.8,28.8,2015
22,University of Michigan - Ann Arbor,USA,17,41.7,34.4,0.0,56.2,41.3,75.9,25.6,2015
23,Imperial College of Science - Technology and Medicine,United Kingdom,4,41.5,14.5,35.8,44.2,34.5,62.0,38.0,2015
24,University of Wisconsin - Madison,USA,18,41.1,30.8,34.8,40.2,35.7,62.5,24.6,2015
25,University of Toronto,Canada,1,40.6,19.9,17.2,38.8,38.6,79.1,29.3,2015
26,Kyoto University,Japan,2,38.9,31.6,37.2,33.6,32.6,59.0,23.5,2015
27,New York University,USA,19,38.8,28.1,31.9,35.2,40.3,56.2,23.3,2015
27,Northwestern University,USA,19,38.8,15.4,22.1,50.3,37.0,58.1,28.8,2015
29,University of Illinois at Urbana - Champaign,USA,21,38.6,29.9,36.2,34.9,32.4,55.5,28.6,2015
30,University of Minnesota - Twin Cities,USA,22,38.5,29.5,16.3,47.3,32.5,64.0,26.2,2015
31,Duke University,USA,23,38.0,15.4,14.9,50.2,39.0,61.7,23.9,2015
32,Washington University in St. Louis,USA,24,37.4,22.9,24.9,40.7,41.8,50.5,26.0,2015
33,Rockefeller University,USA,25,36.5,17.0,59.8,30.3,40.9,19.0,39.6,2015
34,University of Colorado at Boulder,USA,26,36.0,12.6,34.1,37.1,36.0,45.0,34.2,2015
