World Rank;Institution;Location;National Rank;Score; Score on Alumni;Score on Award;Score on HiCi;Score on N&S;Score on PUB;Score on PCP;Year
1;Harvard University;USA;1;100.0;100.0;100.0;100.0;100.0;100.0;78.2;2019
2;Stanford University;USA;2;75.1;45.2;88.5;73.3;79.2;76.6;53.8;2019
3;University of Cambridge;United Kingdom;1;72.3;80.7;99.8;53.9;58.1;71.9;58.9;2019
4;Massachusetts Institute of Technology;USA;3;69.0;72.0;83.6;49.2;69.4;65.2;68.1;2019
5;University of California - Berkeley;USA;4;67.9;67.1;78.4;58.7;68.5;64.7;57.1;2019
6;Princeton University;USA;5;60.0;59.6;97.9;35.9;48.1;46.5;70.5;2019
7;University of Oxford;United Kingdom;2;59.7;48.9;54.2;56.3;55.1;78.8;45.9;2019
8;Columbia University;USA;6;59.1;61.4;67.2;45.8;56.0;72.8;33.1;2019
9;California Institute of Technology;USA;7;58.6;52.3;70.6;36.7;57.7;45.4;100.0;2019
10;University of Chicago;USA;8;55.1;59.6;90.1;35.2;41.1;52.1;42.9;2019
11;University of California - Los Angeles;USA;9-10;50.8;28.6;46.4;51.3;47.5;73.5;31.2;2019
11;Yale University;USA;9-10;50.8;47.6;53.9;40.8;53.5;59.0;34.8;2019
13;Cornell University;USA;11;49.8;43.8;49.1;42.8;48.2;61.1;41.3;2019
14;University of Washington;USA;12;48.7;24.4;37.4;47.5;49.4;76.6;29.6;2019
15;University College London;United Kingdom;3;47.9;26.9;35.8;48.1;39.4;81.2;32.9;2019
16;Johns Hopkins University;USA;13;47.6;36.8;33.2;46.9;43.4;76.3;28.9;2019
17;University of Pennsylvania;USA;14;47.3;31.2;33.4;49.2;41.5;72.3;39.1;2019
18;University of California - San Diego;USA;15;47.1;19.4;35.1;50.8;51.6;66.4;34.0;2019
19;Swiss Federal Institute of Technology Zurich;Switzerland;1;46.1;28.6;45.7;31.1;51.2;58.8;48.3;2019
20;University of California - San Francisco;USA;16-17;42.2;0;39.4;38.8;49.2;63.6;31.0;2019
20;University of Michigan - Ann Arbor;USA;16-17;42.2;33.6;10.4;44.6;41.4;80.6;24.6;2019
22;Washington University in St. Louis;USA;18;41.7;22.4;24.6;52.4;42.2;54.6;37.8;2019
23;Imperial College London;United Kingdom;4;41.6;13.7;35.4;39.5;35.1;67.0;38.8;2019
24;University of Toronto;Canada;1;41.4;17.7;17.0;38.8;37.5;84.6;31.6;2019
25;University of Tokyo;Japan;1;40.7;37.6;25.0;23.2;44.2;73.2;28.9;2019
26;University of Copenhagen;Denmark;1;40.2;20.2;18.6;38.8;38.8;68.2;43.9;2019
27;University of Wisconsin - Madison;USA;19;38.8;30.2;34.3;31.1;32.5;65.1;23.7;2019
28;Duke University;USA;20;38.6;14.8;19.0;49.2;36.2;64.9;24.1;2019
29;Northwestern University;USA;21;38.4;13.7;27.6;44.6;32.2;61.5;29.9;2019
30;New York University;USA;22;38.1;28.6;37.7;25.4;37.2;61.6;20.6;2019
