the_Rank,the_institution,the_Overall,the_Teaching,the_Reseach,the_Citations,the_Industry Income,the_International Outlook,the_Country,year
1,University of Oxford,94.3,86.7,99.5,99.1,63.7,95.0,United Kingdom,2018
2,University of Cambridge,93.2,87.8,97.8,97.5,51.5,93.0,United Kingdom,2018
3,California Institute of Technology,93.0,90.3,97.5,99.5,92.6,59.7,United States,2018
3,Stanford University,93.0,89.1,96.7,99.9,60.5,77.6,United States,2018
5,Massachusetts Institute of Technology,92.5,87.3,91.9,100.0,88.4,87.6,United States,2018
6,Harvard University,91.8,84.2,98.4,99.7,46.4,79.7,United States,2018
7,Princeton University,91.1,85.7,93.9,99.6,58.0,78.7,United States,2018
8,Imperial College London,89.2,81.7,88.7,96.7,71.6,96.6,United Kingdom,2018
9,University of Chicago,88.6,85.3,90.1,99.4,39.8,69.6,United States,2018
10,ETH Zurich,87.7,76.4,92.0,94.3,60.3,98.1,Switzerland,2018
10,University of Pennsylvania,87.7,83.7,90.1,98.5,56.9,61.3,United States,2018
12,Yale University,87.6,86.7,87.0,98.4,45.1,64.6,United States,2018
13,Johns Hopkins University,86.5,76.1,88.1,98.4,95.8,70.6,United States,2018
14,Columbia University,86.0,82.2,83.3,98.8,41.3,76.6,United States,2018
15,University of California  Los Angeles,85.7,80.7,88.1,97.9,48.6,59.5,United States,2018
16,UCL,85.3,74.4,88.2,94.6,41.2,94.6,United Kingdom,2018
17,Duke University,85.1,80.7,80.6,98.3,100.0,62.5,United States,2018
18,University of California  Berkeley,84.3,77.4,84.5,99.8,37.5,64.5,United States,2018
19,Cornell University,84.2,76.2,86.6,97.6,34.6,69.2,United States,2018
20,Northwestern University,83.3,72.6,86.7,96.9,78.2,59.2,United States,2018
21,University of Michigan-Ann Arbor,83.1,77.2,86.3,95.7,46.2,55.8,United States,2018
22,National University of Singapore,82.8,77.4,88.2,81.3,61.9,95.8,Singapore,2018
22,University of Toronto,82.8,74.6,84.8,92.6,46.5,80.1,Canada,2018
24,Carnegie Mellon University,81.9,65.8,83.7,99.7,50.4,79.1,United States,2018
25,London School of Economics and Political Science,79.4,71.8,72.0,94.9,33.7,92.2,United Kingdom,2018
25,University of Washington - Seattle,79.4,67.9,79.9,99.0,47.3,56.5,United States,2018
27,University of Edinburgh,79.2,66.8,74.2,97.0,36.3,92.0,United Kingdom,2018
27,New York University,79.2,73.7,77.4,96.5,37.0,53.4,United States,2018
27,Peking University,79.2,83.0,85.1,74.2,100.0,53.0,China,2018
30,Tsinghua University,79.0,80.2,93.2,71.4,99.8,41.0,China,2018
31,University of California  San Diego,78.7,62.9,79.8,98.6,96.5,51.9,United States,2018
32,University of Melbourne,77.5,64.9,74.2,90.3,70.1,92.7,Australia,2018
33,Georgia Institute of Technology,77.0,59.7,78.9,94.3,60.2,75.0,United States,2018
34,University of British Columbia,76.2,61.8,72.2,93.4,42.6,92.2,Canada,2018
34,LMU Munich,76.2,65.4,72.3,91.3,100.0,66.3,Germany,2018
36,King's College London,75.6,59.3,71.2,94.4,43.9,94.5,United Kingdom,2018
37,University of Illinois at Urbana–Champaign,75.4,65.8,78.9,88.9,56.0,52.8,United States,2018
38,École Polytechnique Fédérale de Lausanne,75.3,58.8,66.8,94.2,76.0,98.7,Switzerland,2018
38,Karolinska Institute,75.3,57.0,74.4,95.9,71.4,70.3,Sweden,2018
40,University of Hong Kong,75.1,68.8,77.9,74.2,54.0,99.5,Hong Kong,2018
41,Technical University of Munich,73.5,60.3,71.2,88.4,100.0,66.8,Germany,2018
42,McGill University,73.2,63.4,70.8,84.7,39.8,87.5,Canada,2018
43,University of Wisconsin-Madison,73.1,68.4,73.9,86.5,45.8,43.4,United States,2018
44,The Hong Kong University of Science and Technology,72.7,55.2,68.4,93.1,58.1,83.4,Hong Kong,2018
45,Heidelberg University,72.3,63.6,62.2,94.2,56.0,64.7,Germany,2018
46,The University of Tokyo,72.2,79.5,85.2,63.7,52.7,32.2,Japan,2018
47,KU Leuven,71.8,54.2,70.9,88.7,99.9,68.3,Belgium,2018
48,Australian National University,71.6,52.7,72.0,85.5,61.1,94.3,Australia,2018
49,University of Texas at Austin,71.4,60.9,68.3,95.7,48.2,36.7,United States,2018
50,Brown University,70.8,63.8,57.9,96.7,34.1,59.0,United States,2018
50,Washington University in St. Louis,70.8,60.8,59.7,99.4,36.9,52.1,United States,2018
52,Nanyang Technological University  Singapore,70.5,49.5,63.0,90.7,94.0,95.9,Singapore,2018
