the_Rank,the_institution,the_Overall,the_Teaching,the_Reseach,the_Citations,the_Industry Income,the_International Outlook,the_Country,year,cwur_year,cwur_institution,cwur_location,cwur_world_rank,cwur_national_rank,cwur_quality_of_education,cwur_alumni_employment,cwur_quality_of_faculty,cwur_research_performance,cwur_publications,cwur_influence,cwur_citations,cwur_broad_impact,cwur_patents,cwur_score,sha_World Rank,sha_institution,sha_Location,sha_National Rank,sha_Score, sha_Score on Alumni,sha_Score on Award,sha_Score on HiCi,sha_Score on N&S,sha_Score on PUB,sha_Score on PCP,sha_year
1,California Institute of Technology,95.5,96.3,99.4,99.7,95.6,59.8,United States,2013,2013,California Institute of Technology,USA,11,9,5,101+,7,-,38,24,25,-,17,77.59,6,California Institute of Technology,-,5,62.9,47.8,67.2,57.4,62.0,45.2,100.0,2013.0
2,Stanford University,93.7,95.0,98.8,99.3,62.4,56.6,United States,2013,2013,Stanford University,USA,2,2,11,2,4,-,6,2,2,-,11,93.94,2,Stanford University,-,2,72.6,40.0,80.7,88.9,68.7,69.4,50.4,2013.0
2,University of Oxford,93.7,89.7,98.1,95.6,79.8,88.7,United Kingdom,2013,2013,University of Oxford,United Kingdom,3,1,7,12,10,-,11,7,13,-,15,92.54,10,University of Oxford,-,2,55.9,51.8,55.3,48.9,51.3,69.9,41.2,2013.0
4,Harvard University,93.6,94.9,98.6,99.2,39.9,63.7,United States,2013,2013,Harvard University,USA,1,1,1,1,1,-,1,1,1,-,7,100.0,1,Harvard University,-,1,100,100.0,100.0,100.0,100.0,100.0,72.5,2013.0
5,Massachusetts Institute of Technology,93.1,92.9,89.2,99.9,92.9,81.6,United States,2013,2013,Massachusetts Institute of Technology,USA,4,3,2,16,2,-,16,3,3,-,1,91.45,4,Massachusetts Institute of Technology,-,4,71.1,68.0,81.3,68.2,69.7,60.1,65.0,2013.0
6,Princeton University,92.7,89.5,99.4,99.8,79.5,54.5,United States,2013,2013,Princeton University,USA,8,6,4,14,3,-,58,35,27,-,101+,82.17,7,Princeton University,-,6,61.9,52.9,89.2,62.2,45.8,44.0,66.9,2013.0
7,University of Cambridge,92.6,91.2,95.6,96.2,59.1,83.6,United Kingdom,2013,2013,University of Cambridge,United Kingdom,5,2,3,15,5,-,9,11,10,-,39,90.24,5,University of Cambridge,-,1,69.6,79.1,97.3,54.6,54.0,66.2,53.3,2013.0
10,University of Chicago,90.4,89.6,92.9,98.7,-,55.3,United States,2013,2013,University of Chicago,USA,9,7,9,19,8,-,37,21,30,-,101+,79.16,9,University of Chicago,-,8,57.1,60.9,83.4,52.2,41.9,49.8,39.5,2013.0
11,Yale University,89.2,93.2,92.5,94.8,38.2,54.7,United States,2013,2013,Yale University,USA,10,8,10,25,13,-,20,12,22,-,42,78.83,11,Yale University,-,9,55.4,47.5,44.5,59.7,60.7,62.4,36.3,2013.0
14,Columbia University,87.0,89.7,82.0,96.1,-,66.1,United States,2013,2013,Columbia University,USA,6,4,13,8,9,-,13,9,11,-,10,88.21,8,Columbia University,-,7,59.8,66.1,66.4,57.4,49.8,68.0,31.9,2013.0
15,University of Pennsylvania,86.6,90.0,89.4,96.2,43.7,38.1,United States,2013,2013,University of Pennsylvania,USA,12,10,22,5,25,-,10,10,9,-,14,77.24,15,University of Pennsylvania,-,13,49.6,33.0,34.1,57.9,47.4,66.7,37.7,2013.0
16,Johns Hopkins University,85.6,81.8,85.5,95.3,100.0,57.3,United States,2013,2013,Johns Hopkins University,USA,17,13,23,96,21,-,4,5,7,-,2,65.64,17,Johns Hopkins University,-,15,46.9,39.3,33.9,42.2,49.7,68.8,27.4,2013.0
18,Cornell University,83.3,77.0,92.1,91.8,39.5,53.8,United States,2013,2013,Cornell University,USA,13,11,12,23,18,-,21,19,15,-,7,76.99,13,Cornell University,-,11,50,38.2,50.2,54.9,45.0,55.2,37.6,2013.0
19,Northwestern University,83.1,77.6,87.3,98.2,64.4,33.8,United States,2013,2013,Northwestern University,USA,28,21,101+,21,101+,-,27,26,24,-,30,56.12,30,Northwestern University,-,22,38.9,16.0,22.2,48.5,39.1,57.5,27.1,2013.0
21,University of Toronto,82.2,79.6,89.4,85.1,42.9,65.1,Canada,2013,2013,University of Toronto,Canada,29,1,91,81,34,-,2,13,12,-,101+,56.11,28,University of Toronto,-,1,40.3,20.7,17.3,39.0,38.2,77.6,27.4,2013.0
