the_Rank,the_institution,the_Overall,the_Teaching,the_Reseach,the_Citations,the_Industry Income,the_International Outlook,the_Country,   the_No. Of FTTE Students,   the_No. Of Studets per staff,   the_International Students,   the_Female,Male,year,cwur_year,cwur_institution,cwur_location,cwur_world_rank,cwur_national_rank,cwur_quality_of_education,cwur_alumni_employment,cwur_quality_of_faculty,cwur_research_performance,cwur_publications,cwur_influence,cwur_citations,cwur_broad_impact,cwur_patents,cwur_score,sha_World Rank,sha_institution,sha_Location,sha_National Rank,sha_Score, sha_Score on Alumni,sha_Score on Award,sha_Score on HiCi,sha_Score on N&S,sha_Score on PUB,sha_Score on PCP,sha_year,institution,latitude,longitude
1,California Institute of Technology,95.5,96.3,99.4,99.7,95.6,59.8,United States,-,-,-,-,-,2013,2013.0,California Institute of Technology,USA,11.0,9.0,5,101+,7,-,38,24,25,-,17,77.59,6,California Institute of Technology,-,5,62.9,47.8,67.2,57.4,62.0,45.2,100.0,2013.0,California Institute of Technology,34.1371019,-118.12527490000001
2,Stanford University,93.7,95.0,98.8,99.3,62.4,56.6,United States,-,-,-,-,-,2013,2013.0,Stanford University,USA,2.0,2.0,11,2,4,-,6,2,2,-,11,93.94,2,Stanford University,-,2,72.6,40.0,80.7,88.9,68.7,69.4,50.4,2013.0,Stanford University,37.4313139,-122.1693654
2,University of Oxford,93.7,89.7,98.1,95.6,79.8,88.7,United Kingdom,-,-,-,-,-,2013,2013.0,University of Oxford,United Kingdom,3.0,1.0,7,12,10,-,11,7,13,-,15,92.54,10,University of Oxford,-,2,55.9,51.8,55.3,48.9,51.3,69.9,41.2,2013.0,University of Oxford,51.750690000000006,1.2474815000000001
4,Harvard University,93.6,94.9,98.6,99.2,39.9,63.7,United States,-,-,-,-,-,2013,2013.0,Harvard University,USA,1.0,1.0,1,1,1,-,1,1,1,-,7,100.0,1,Harvard University,-,1,100,100.0,100.0,100.0,100.0,100.0,72.5,2013.0,Harvard University,42.3770029,-71.11666009999999
5,Massachusetts Institute of Technology,93.1,92.9,89.2,99.9,92.9,81.6,United States,-,-,-,-,-,2013,2013.0,Massachusetts Institute of Technology,USA,4.0,3.0,2,16,2,-,16,3,3,-,1,91.45,4,Massachusetts Institute of Technology,-,4,71.1,68.0,81.3,68.2,69.7,60.1,65.0,2013.0,Massachusetts Institute of Technology,42.3583961,-71.09567790000001
6,Princeton University,92.7,89.5,99.4,99.8,79.5,54.5,United States,-,-,-,-,-,2013,2013.0,Princeton University,USA,8.0,6.0,4,14,3,-,58,35,27,-,101+,82.17,7,Princeton University,-,6,61.9,52.9,89.2,62.2,45.8,44.0,66.9,2013.0,Princeton University,40.338675200000004,-74.6583655
7,University of Cambridge,92.6,91.2,95.6,96.2,59.1,83.6,United Kingdom,-,-,-,-,-,2013,2013.0,University of Cambridge,United Kingdom,5.0,2.0,3,15,5,-,9,11,10,-,39,90.24,5,University of Cambridge,-,1,69.6,79.1,97.3,54.6,54.0,66.2,53.3,2013.0,University of Cambridge,52.1763896,0.1430888
8,Imperial College London,90.6,88.0,90.9,93.0,87.5,91.4,United Kingdom,-,-,-,-,-,2013,2013.0,Imperial College London,United Kingdom,27.0,3.0,101+,92,35,-,17,22,19,-,48,56.75,,,,,,,,,,,,,Imperial College London,51.4988884,-0.17615799999999998
9,University of California  Berkeley,90.5,85.1,99.3,99.3,65.4,49.7,United States,-,-,-,-,-,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of California  Berkeley,37.8718992,-122.2585399
10,University of Chicago,90.4,89.6,92.9,98.7,-,55.3,United States,-,-,-,-,-,2013,2013.0,University of Chicago,USA,9.0,7.0,9,19,8,-,37,21,30,-,101+,79.16,9,University of Chicago,-,8,57.1,60.9,83.4,52.2,41.9,49.8,39.5,2013.0,University of Chicago,41.7846874,-87.6007493
11,Yale University,89.2,93.2,92.5,94.8,38.2,54.7,United States,-,-,-,-,-,2013,2013.0,Yale University,USA,10.0,8.0,10,25,13,-,20,12,22,-,42,78.83,11,Yale University,-,9,55.4,47.5,44.5,59.7,60.7,62.4,36.3,2013.0,Yale University,41.2571305,-72.9896696
12,ETH Zurich,87.8,82.5,92.7,86.6,-,95.7,Switzerland,-,-,-,-,-,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,ETH Zurich,47.376313,8.5476699
13,University of California  Los Angeles,87.7,87.3,93.8,95.9,-,42.3,United States,-,-,-,-,-,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of California  Los Angeles,34.068921,-118.4451811
14,Columbia University,87.0,89.7,82.0,96.1,-,66.1,United States,-,-,-,-,-,2013,2013.0,Columbia University,USA,6.0,4.0,13,8,9,-,13,9,11,-,10,88.21,8,Columbia University,-,7,59.8,66.1,66.4,57.4,49.8,68.0,31.9,2013.0,Columbia University,40.814856,-73.9610162
15,University of Pennsylvania,86.6,90.0,89.4,96.2,43.7,38.1,United States,-,-,-,-,-,2013,2013.0,University of Pennsylvania,USA,12.0,10.0,22,5,25,-,10,10,9,-,14,77.24,15,University of Pennsylvania,-,13,49.6,33.0,34.1,57.9,47.4,66.7,37.7,2013.0,University of Pennsylvania,39.9492344,-75.19198990000001
16,Johns Hopkins University,85.6,81.8,85.5,95.3,100.0,57.3,United States,-,-,-,-,-,2013,2013.0,Johns Hopkins University,USA,17.0,13.0,23,96,21,-,4,5,7,-,2,65.64,17,Johns Hopkins University,-,15,46.9,39.3,33.9,42.2,49.7,68.8,27.4,2013.0,Johns Hopkins University,39.2964392,-76.592394
17,UCL,85.5,83.5,88.8,86.8,45.1,89.0,United Kingdom,-,-,-,-,-,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,UCL,25.7898293,-80.3379743
