Rank,institution,Overall,Teaching,Reseach,Citations,Industry Income,International Outlook,Country, 
1,University of Oxford,95.4,90.5,99.6,98.4,65.5,96.4
2,California Institute of Technology,94.5,92.1,97.2,97.9,88.0,82.5
3,University of Cambridge,94.4,91.4,98.7,95.8,59.3,95.0
4,Stanford University,94.3,92.8,96.4,99.9,66.2,79.5
5,Massachusetts Institute of Technology,93.6,90.5,92.4,99.5,86.9,89.0
6,Princeton University,93.2,90.3,96.3,98.8,58.6,81.1
7,Harvard University,93.0,89.2,98.6,99.1,47.3,76.3
8,Yale University,91.7,92.0,94.8,97.3,52.4,68.7
9,University of Chicago,90.2,89.1,91.4,96.7,52.7,76.0
10,Imperial College London,89.8,84.5,87.6,97.0,69.9,97.1
