the_Rank,the_institution,the_Overall,the_Teaching,the_Reseach,the_Citations,the_Industry Income,the_International Outlook,the_Country,year,cwur_year,cwur_institution,cwur_location,cwur_world_rank,cwur_national_rank,cwur_quality_of_education,cwur_alumni_employment,cwur_quality_of_faculty,cwur_research_performance,cwur_publications,cwur_influence,cwur_citations,cwur_broad_impact,cwur_patents,cwur_score
1,California Institute of Technology,95.2,95.6,97.6,99.8,97.8,64.0,United States,2016,2016,California Institute of Technology,USA,11,9,5,338,7,-,67,13,20,25,9,83.74
2,University of Oxford,94.2,86.5,98.9,98.8,73.1,94.4,United Kingdom,2016,2016,University of Oxford,United Kingdom,5,2,7,13,10,-,6,11,6,9,19,95.39
3,Stanford University,93.9,92.5,96.2,99.9,63.3,76.3,United States,2016,2016,Stanford University,USA,2,2,9,2,2,-,5,3,3,3,7,98.25
4,University of Cambridge,92.8,88.2,96.7,97.0,55,91.5,United Kingdom,2016,2016,University of Cambridge,United Kingdom,4,1,3,10,6,-,12,8,14,12,45,96.13
5,Massachusetts Institute of Technology,92,89.4,88.6,99.7,95.4,84.0,United States,2016,2016,Massachusetts Institute of Technology,USA,3,3,2,12,3,-,15,2,2,2,1,97.12
6,Harvard University,91.6,83.6,99.0,99.8,45.2,77.2,United States,2016,2016,Harvard University,USA,1,1,1,1,1,-,1,1,1,1,3,100.0
7,Princeton University,90.1,85.1,91.9,99.3,52.1,78.5,United States,2016,2016,Princeton University,USA,9,7,4,15,4,-,82,25,26,37,109,88.72
8,Imperial College London,89.1,83.3,88.5,96.7,53.7,96.0,United Kingdom,2016,2016,Imperial College London,United Kingdom,35,4,99,72,37,-,19,26,19,20,29,59.4
10,University of Chicago,87.9,85.7,88.9,99.2,36.6,65.0,United States,2016,2016,University of Chicago,USA,8,6,11,14,8,-,17,16,11,17,83,90.72
11,Johns Hopkins University,87.6,77.6,90.4,98.2,100,70.0,United States,2016,2016,Johns Hopkins University,USA,16,13,18,89,16,-,4,10,4,4,4,70.44
12,Yale University,87.4,86.5,87.8,97.2,43.3,64.3,United States,2016,2016,Yale University,USA,10,8,8,26,11,-,18,6,31,18,41,85.83
15,Columbia University,86.1,85.9,82.2,98.1,-,73.5,United States,2016,2016,Columbia University,USA,6,4,13,6,9,-,14,12,15,14,2,94.12
17,University of Pennsylvania,85.2,82.0,86.9,98.6,47.9,49.5,United States,2016,2016,University of Pennsylvania,USA,14,11,22,4,26,-,8,18,12,11,11,77.6
18,Cornell University,84,77.9,86.1,97.2,33.7,63.9,United States,2016,2016,Cornell University,USA,12,10,12,19,19,-,24,15,27,23,13,81.74
19,University of Toronto,83.9,75.9,89.3,90.9,49.1,77.8,Canada,2016,2016,University of Toronto,Canada,30,1,47,70,24,-,2,17,7,6,230,60.79
20,Duke University,82.7,76.0,78.0,99.0,100,56.5,United States,2016,2016,Duke University,USA,29,22,80,33,46,-,21,23,13,15,24,61.32
22,Carnegie Mellon University,82.3,67.4,88.8,99.1,57.5,57.1,United States,2016,2016,Carnegie Mellon University,USA,67,42,28,140,25,-,216,219,101,155,122,53.04
24,University of Edinburgh,80.3,68.6,77.2,96.3,36.1,89.8,United Kingdom,2016,2016,University of Edinburgh,United Kingdom,55,5,49,146,39,-,52,38,54,40,167,54.03
25,Northwestern University,79.5,69.8,78.4,96.5,81.2,53.9,United States,2016,2016,Northwestern University,USA,21,17,176,11,75,-,28,36,31,26,40,66.14
26,National University of Singapore,79.2,71.7,84.5,79.4,49.8,96.2,Singapore,2016,2016,National University of Singapore,Singapore,63,1,378+,86,235+,-,36,119,78,81,26,53.3
27,King's College London,78.2,64.5,75.8,93.8,40.1,93.8,United Kingdom,2016,2016,King's College London,United Kingdom,92,7,31,173,116,-,73,100,84,68,192,51.45
28,Karolinska Institute,77.5,60.6,81.1,92.2,75.8,73.1,Sweden,2016,2016,Karolinska Institute,Sweden,70,1,108,594+,41,-,49,50,51,35,558,52.76
30,New York University,77.2,74.7,72.3,95.3,30.4,49.3,United States,2016,2016,New York University,USA,22,18,38,24,20,-,47,30,27,32,43,66.11
33,University of Melbourne,75.4,62.0,75.5,86.6,64.6,87.1,Australia,2016,2016,University of Melbourne,Australia,89,1,93,124,139,-,40,66,54,63,237,51.69
34,University of British Columbia,75.3,60.2,73.2,91.5,42.6,90.5,Canada,2016,2016,University of British Columbia,Canada,57,3,78,312,95,-,26,37,38,33,73,53.89
38,McGill University,72.6,66.1,72.1,78.9,40.3,85.5,Canada,2016,2016,McGill University,Canada,42,2,34,38,54,-,37,55,39,35,103,56.45
41,Georgia Institute of Technology,72.1,57.8,72.7,86.0,73.7,71.5,United States,2016,2016,Georgia Institute of Technology,USA,86,50,152,68,117,-,112,161,78,108,34,51.75
42,Peking University,72,77.8,72.4,69.1,100,49.2,China,2016,2016,Peking University,China,60,1,162,34,235+,-,48,106,126,115,46,53.75
44,University of Hong Kong,71,64.6,72.8,70.1,53.7,99.5,Hong Kong,2016,2016,University of Hong Kong,Hong Kong,169,1,304,97,235+,-,128,200,171,149,203,48.29
46,University of Texas at Austin,70.3,59.3,69.7,92.2,63.1,31.7,United States,2016,2016,University of Texas at Austin,USA,32,23,66,31,28,-,51,53,29,68,37,60.17
47,Tsinghua University,70,73.3,83.0,58.8,100,39.5,China,2016,2016,Tsinghua University,China,74,2,325,53,235+,-,53,133,64,121,44,52.36
49,Humboldt University of Berlin,69.9,63.7,77.0,73.6,36.1,62.6,Germany,2016,2016,Humboldt University of Berlin,Germany,149,6,309,594+,180,-,107,79,144,81,456,48.82
51,Brown University,69.6,62.8,55.7,96.4,31.4,57.8,United States,2016,2016,Brown University,USA,87,51,75,39,77,-,122,73,64,103,203,51.74
52,Australian National University,69.5,54.7,77.3,72.3,48,93.3,Australia,2016,2016,Australian National University,Australia,160,6,126,377,43,-,135,104,295,198,356,48.44
53,Technical University of Munich,69.4,61.0,66.0,80.1,99.2,63.8,Germany,2016,2016,Technical University of Munich,Germany,104,3,42,127,178,-,100,86,144,91,138,50.22
56,University of Manchester,68.1,58.4,66.0,77.3,42,87.0,United Kingdom,2016,2016,University of Manchester,United Kingdom,61,6,110,93,76,-,45,70,23,45,144,53.74
